MUNICIPIO_COD;MREH0116;MREH0126;MREH0136;MREH0146;MREH0156;MREH0166;MREH0111;MREH0121;MREH0131;MREH0141;MREH0151;MREH0161;MREH0112;MREH0122;MREH0132;MREH0142;MREH0152;MREH0162;MREH0113;MREH0123;MREH0133;MREH0143;MREH0153;MREH0163;MREH0114;MREH0134;MREH0144;MREH0154;MREH0164;MREH0115;MREH0125;MREH0135;MREH0145;MREH0155;MREH0165;MREH02;MREH0316;MREH0326;MREH0336;MREH0346;MREH0356;MREH0366;MREH0311;MREH0321;MREH0331;MREH0341;MREH0351;MREH0361;MREH0312;MREH0322;MREH0332;MREH0342;MREH0352;MREH0362;MREH0313;MREH0323;MREH0333;MREH0343;MREH0353;MREH0363;MREH0314;MREH0334;MREH0344;MREH0354;MREH0364;MREH0315;MREH0325;MREH0335;MREH0345;MREH0355;MREH0365;MREH04
2507408;483;0;11;321;139;12;389;0;10;262;106;11;0;0;0;0;0;0;49;0;1;37;11;0;0;0;0;0;0;45;0;0;22;22;1;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2507507;23930;59;2433;10955;8767;1716;9157;10;1023;2858;4083;1183;0;0;0;0;0;0;1097;2;10;362;659;64;43;1;0;42;0;13633;47;1399;7735;3983;469;Sim;2220;49;819;720;623;9;1337;10;621;398;305;3;7;0;0;7;0;0;212;12;2;56;139;3;0;0;0;0;0;664;27;196;259;179;3;Não
2507606;401;5;72;143;81;100;272;5;56;83;30;98;0;0;0;0;0;0;62;0;3;36;22;1;0;0;0;0;0;67;0;13;24;29;1;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2507705;686;14;128;241;302;1;559;13;122;176;247;1;0;0;0;0;0;0;58;1;4;32;21;0;0;0;0;0;0;69;0;2;33;34;0;Sim;7;0;1;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;1;0;0;0;0;0;0;4;0;1;2;1;0;Não
2507804;362;0;94;146;85;37;241;0;60;82;62;37;0;0;0;0;0;0;116;0;34;60;22;0;0;0;0;0;0;5;0;0;4;1;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2507903;601;12;79;280;149;81;286;6;34;143;57;46;0;0;0;0;0;0;93;0;0;27;45;21;0;0;0;0;0;222;6;45;110;47;14;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2508000;467;0;38;244;100;85;340;0;37;178;41;84;0;0;0;0;0;0;37;0;0;28;9;0;0;0;0;0;0;90;0;1;38;50;1;Sim;7;0;0;2;1;4;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;5;0;0;1;0;4;Não
2508109;338;0;80;156;91;11;195;0;54;70;60;11;0;0;0;0;0;0;81;0;24;46;11;0;0;0;0;0;0;62;0;2;40;20;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2508208;636;0;114;128;284;110;265;0;43;55;91;76;207;0;46;24;117;20;136;0;25;49;50;12;0;0;0;0;0;28;0;0;0;26;2;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2508307;1012;2;281;456;201;72;809;2;271;380;96;60;0;0;0;0;0;0;139;0;0;50;80;9;0;0;0;0;0;64;0;10;26;25;3;Sim;5;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;Não
2508406;260;16;8;89;134;13;132;16;8;63;32;13;0;0;0;0;0;0;91;0;0;26;65;0;0;0;0;0;0;37;0;0;0;37;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2508505;423;0;0;229;194;0;329;0;0;179;150;0;0;0;0;0;0;0;68;0;0;40;28;0;0;0;0;0;0;26;0;0;10;16;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2508554;263;0;62;108;90;3;217;0;52;82;81;2;0;0;0;0;0;0;33;0;10;18;5;0;0;0;0;0;0;13;0;0;8;4;1;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Sim
2508604;575;0;115;226;92;142;371;0;107;100;36;128;0;0;0;0;0;0;119;0;0;90;15;14;0;0;0;0;0;85;0;8;36;41;0;Sim;4;0;0;0;4;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;Não
2508703;343;0;89;128;109;17;199;0;60;58;66;15;0;0;0;0;0;0;68;0;20;31;15;2;38;0;18;20;0;38;0;9;21;8;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2508802;296;5;46;108;104;33;254;5;46;91;86;26;0;0;0;0;0;0;23;0;0;9;10;4;0;0;0;0;0;19;0;0;8;8;3;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
